Month,Year,ev_date,State,latitude,longitude,Landslide Count,Years
12,2010,12/28/2010 14:00,California,33.9385,-117.1324,,
12,2010,12/19/2010 0:00,California,40.7659,-123.1034,,
3,2010,3/30/2010 0:00,New York,40.9647,-72.9684,,
10,2010,10/20/2010 0:00,California,33.4552,-117.6667,,
3,2010,3/6/2010 0:00,California,36.0082,-121.5106,,
5,2010,5/2/2010 0:00,Kentucky,37.7806,-82.9667,,
6,2010,6/23/2010 9:00,Minnesota,43.6229,-91.2718,,
3,2010,3/14/2010 0:00,New Jersey,41.0752,-74.5894,,
3,2010,3/30/2010 7:19,New York,40.904,-73.9141,,
2,2010,2/6/2010 0:00,Kentucky,37.3298,-82.7228,,
8,2010,8/19/2010 15:00,Colorado,39.2105,-107.2343,,
7,2010,7/31/2010 18:46,Colorado,39.1883,-107.2341,,
6,2010,6/5/2010 0:00,Pennsylvania,40.4127,-80.0284,,
12,2010,12/12/2010 0:00,Washington,47.7004,-122.274,,
8,2010,8/1/2010 2:30,Colorado,39.068,-106.3538,,
12,2010,12/22/2010 0:00,California,33.7124,-117.6407,,
12,2010,12/12/2010 0:00,Washington,47.479,-122.359,,
12,2010,12/10/2010 0:00,Washington,48.6223,-122.4446,,
1,2010,1/11/2010 0:00,Washington,47.4697,-123.0957,,
8,2010,8/18/2010 19:30,Tennessee,36.1364,-82.443,,
12,2010,12/22/2010 2:30,California,33.1466,-117.2892,,
12,2010,12/22/2010 9:00,California,34.0424,-117.2674,,
1,2010,1/18/2010 0:00,California,34.2068,-118.1733,,
9,2010,9/23/2010 13:00,Wisconsin,44.8545,-91.4334,,
1,2010,1/19/2010 7:30,Washington,47.7632,-122.321,,
12,2010,12/13/2010 4:00,Washington,48.0079,-122.3101,,
1,2010,1/20/2010 9:00,California,38.8774,-123.1113,,
12,2010,12/22/2010 0:30,California,34.1332,-118.1765,,
12,2010,12/22/2010 3:00,California,32.8471,-117.2527,,
3,2010,3/12/2010 7:30,Oregon,43.2479,-124.2259,,
12,2010,12/28/2010 9:30,California,32.7708,-117.0873,,
1,2010,1/26/2010 0:00,Kentucky,37.1016,-83.7568,,
1,2010,1/18/2010 1:00,California,37.8559,-122.4944,,
7,2010,7/13/2010 0:00,West Virginia,39.3937,-81.1966,,
12,2010,12/19/2010 0:00,California,34.231,-117.0312,,
12,2010,12/1/2010 0:00,California,39.1312,-120.9276,,
12,2010,12/21/2010 14:10,California,34.1608,-117.2959,,
12,2010,12/12/2010 0:00,Washington,47.7371,-122.2869,,
6,2010,6/11/2010 0:00,Washington,47.7028,-121.957,,
12,2010,12/22/2010 0:00,California,34.2174,-117.0747,,
5,2010,5/3/2010 0:00,Kentucky,36.9828,-82.9777,,
